Entity,Code,Year,Oil (terawatt-hours),Gas (terawatt-hours),Coal (terawatt-hours)
Austria,AUT,2000,137.81550000000004,84.89981983917242,42.47900525765001
Austria,AUT,2001,149.89907000000002,89.9769794141232,43.88108319616041
Austria,AUT,2002,153.05079999999998,88.46083433456727,44.575066511331386
Austria,AUT,2003,165.58794,97.30237135582763,47.54769430607133
Austria,AUT,2004,161.08713,98.23883398926148,46.57630650443415
Austria,AUT,2005,162.7037,103.43315203750112,46.53093806787072
Austria,AUT,2006,164.71569000000005,97.1962963330314,47.32915470903425
Austria,AUT,2007,156.14438,91.96037049195958,45.38575649403031
Austria,AUT,2008,155.3768,98.44858481827363,43.650307147218484
Austria,AUT,2009,149.39898000000002,95.87960091811821,33.47778568327958
Austria,AUT,2010,155.60302676000003,104.35706253196223,39.36074118480406
Austria,AUT,2011,147.30558000000005,98.15820563597251,40.37979240364613
Austria,AUT,2012,145.5964427622201,93.62401692441222,37.57339544719548
Austria,AUT,2013,148.10805000000002,89.73507322178692,38.13585257593391
Austria,AUT,2014,145.00284000000002,82.35403269632602,34.85219531363465
Austria,AUT,2015,144.850814831323,87.37898554944171,37.69503442956745
Austria,AUT,2016,147.20073025213662,91.50062177794818,36.93268766582339
Azerbaijan,AZE,1985,95.96919109858533,138.11131000857375,1.06996
Azerbaijan,AZE,1986,100.59250165684645,153.45575746978375,1.06996
Azerbaijan,AZE,1987,94.71774734081906,151.56026693280646,1.06996
Azerbaijan,AZE,1988,97.04921139841508,149.66477630110515,1.06996
Azerbaijan,AZE,1989,94.67277910791246,157.24673863846238,1.06996
Azerbaijan,AZE,1990,99.35376425589314,160.37204152871738,1.03507
Azerbaijan,AZE,1991,95.8315802782445,153.45575746978375,0.7792100000000001
Azerbaijan,AZE,1992,93.40614013550136,119.34820990408396,0.13956000000000002
Azerbaijan,AZE,1993,93.04888796747969,88.09518082155824,0.034890000000000004
Azerbaijan,AZE,1994,84.51306680216804,82.40870910642994,0.046520000000000006
Azerbaijan,AZE,1995,76.52804747967481,81.46096381899648,0.034890000000000004
Azerbaijan,AZE,1996,69.04437886178863,59.674104942569585,0.034890000000000004
Azerbaijan,AZE,1997,65.66647845528455,56.83086908026922,0.034890000000000004
Azerbaijan,AZE,1998,69.16795943089431,53.039887940007816,0
Azerbaijan,AZE,1999,66.60292983739839,56.83086908026922,0
Azerbaijan,AZE,2000,73.62540119241194,54.93537851487472,0
Azerbaijan,AZE,2001,46.48425902439025,78.79825087580528,0.034890000000000004
Azerbaijan,AZE,2002,42.62395,79.02390451521931,0.023260000000000003
Azerbaijan,AZE,2003,49.68336000000001,81.03222190505704,0.034890000000000004
Azerbaijan,AZE,2004,52.148920000000004,87.1555359596532,0.010699600000000002
Azerbaijan,AZE,2005,62.52288,90.0256726182528,0.037448600000000005
Azerbaijan,AZE,2006,55.89378000000001,95.16918484802041,0.037448600000000005
Azerbaijan,AZE,2007,52.61411999999999,83.7928345939672,0.01442600319
Azerbaijan,AZE,2008,41.759841,95.86635335651192,0.0812037421826
Azerbaijan,AZE,2009,38.519723000000006,81.85667639918913,0.04792951087560002
Azerbaijan,AZE,2010,37.410661777,77.81290960197404,0.006118191774
Azerbaijan,AZE,2011,46.367647,85.21937776487512,0.040368108905400005
Azerbaijan,AZE,2012,48.47384000000002,89.43554220957046,0.006341652920000001
Azerbaijan,AZE,2013,52.83392700000001,89.83243569470353,0.03413776392420001
Azerbaijan,AZE,2014,51.71179814285714,98.54446055426534,0.019291512545
Azerbaijan,AZE,2015,52.72244514285715,111.46552499999983,0.0041155369424
Azerbaijan,AZE,2016,53.654177472015675,109.30452499999983,0.004126812386077807
Bangladesh,BGD,1965,,0,0
Bangladesh,BGD,1966,,0,0
Bangladesh,BGD,1967,,0,0
Bangladesh,BGD,1968,,0,0
Bangladesh,BGD,1969,,0,0
Bangladesh,BGD,1970,,0,0
Bangladesh,BGD,1971,7.861880000000001,0,0
Bangladesh,BGD,1972,9.711050000000002,4.39614,1.08698632
Bangladesh,BGD,1973,11.013610000000002,6.082490000000001,1.41251002
Bangladesh,BGD,1974,11.420660000000002,6.6872500000000015,1.25556317
Bangladesh,BGD,1975,13.327980000000002,6.72214,1.4531917600000002
Bangladesh,BGD,1976,14.421200000000004,8.850430000000001,1.4357583900000002
Bangladesh,BGD,1977,14.211860000000003,9.87387,1.49970013
Bangladesh,BGD,1978,15.107370000000003,10.897310000000001,1.4531917600000002
Bangladesh,BGD,1979,16.735570000000003,12.53714,1.08118295
Bangladesh,BGD,1980,18.89875,14.118820000000001,1.4443297
Bangladesh,BGD,1981,19.480249999999998,14.804803824052502,1.4847788400000002
Bangladesh,BGD,1982,19.189500000000002,19.2210516114075,1.79867254
Bangladesh,BGD,1983,17.165880000000005,21.387680559432003,1.0179855300000002
Bangladesh,BGD,1984,17.31707,24.68652873884551,0.4073872700000001
Bangladesh,BGD,1985,19.3058,28.03576363798051,0.5696490300000001
Bangladesh,BGD,1986,20.817700000000002,31.613220738207,0.86029436
Bangladesh,BGD,1987,20.468799999999998,37.143904208814,1.35437165
Bangladesh,BGD,1988,20.526950000000003,43.717889170125005,1.39506502
Bangladesh,BGD,1989,22.35286,46.21647768337351,1.4531917600000002
Bangladesh,BGD,1990,21.631800000000005,49.74354806387851,3.2725889599999998
Bangladesh,BGD,1991,20.026860000000003,51.228474333318005,1.04630458
Bangladesh,BGD,1992,22.364489999999996,55.864052547696,0.9823628400000001
Bangladesh,BGD,1993,25.132430000000003,62.53288309907101,0.36620544000000005
Bangladesh,BGD,1994,26.132609999999996,66.320778852252,0.34295707000000003
Bangladesh,BGD,1995,34.11079,73.32156896885101,3.7317995100000005
Bangladesh,BGD,1996,34.773700000000005,78.6951644309145,2.04610079
Bangladesh,BGD,1997,39.879270000000005,77.3554704712605,3.7550595100000006
Bangladesh,BGD,1998,44.11259,83.588604093279,1.0811713200000002
Bangladesh,BGD,1999,39.20473,91.13475635274601,0.5347706600000001
Bangladesh,BGD,2000,38.658120000000004,98.5060370555325,3.836434620000001
Bangladesh,BGD,2001,46.019909999999996,110.30542124443203,4.068941580000001
Bangladesh,BGD,2002,46.08738726,116.04654336799351,4.2491368000000005
Bangladesh,BGD,2003,47.78817009,124.82568829829252,4.0631265800000005
Bangladesh,BGD,2004,44.84732687999999,134.1976181664915,4.068941580000001
Bangladesh,BGD,2005,45.0631099,144.23643108982802,5.59190171
Bangladesh,BGD,2006,45.62195466,156.19883113665003,5.481451600000001
Bangladesh,BGD,2007,43.1348559,166.780042278165,7.19039869
Bangladesh,BGD,2008,43.848286619999996,178.09037889329701,7.45779565
Bangladesh,BGD,2009,40.968477650000004,203.86712717755853,9.00399252
Bangladesh,BGD,2010,45.53482270000001,209.38053184034854,9.405076330000002
Bangladesh,BGD,2011,59.12719912000001,212.95206109119604,8.48084023
Bangladesh,BGD,2012,63.29797297999999,232.02788039281808,10.492062650000001
Bangladesh,BGD,2013,61.539784469999994,238.73227804046707,11.21319243
Bangladesh,BGD,2014,66.89277004231586,250.36271852206508,9.03887089
Bangladesh,BGD,2015,72.0351068433257,281.15789604597006,8.05793523365902
Bangladesh,BGD,2016,76.5494850580095,288.054048537,9.451495421364429
Belarus,BLR,1985,295.349909580875,93.87191398676875,25.112379880000002
Belarus,BLR,1986,348.9446115047512,95.66586038648337,27.47188591
Belarus,BLR,1987,345.13746274572827,107.98654916100784,26.71053959
Belarus,BLR,1988,334.3260035743889,125.03468160973988,28.616346151990722
Belarus,BLR,1989,313.0428594867924,131.66889858388444,28.09226910591109
Belarus,BLR,1990,289.4598148464409,140.2888676303401,24.71020285
Belarus,BLR,1991,279.89018288856704,146.82154049563917,23.47315464
Belarus,BLR,1992,238.44989000000007,170.50388991851577,19.550192820000003
Belarus,BLR,1993,168.90249000000006,158.194483906951,16.79005655
Belarus,BLR,1994,137.31540999999999,138.2918328897933,11.763756630000001
Belarus,BLR,1995,124.39448000000003,125.03468160973988,11.069910830000001
Belarus,BLR,1996,122.23130000000003,131.66889858388444,13.434568950000001
Belarus,BLR,1997,106.49591000000002,150.6125215695938,14.157129220000002
Belarus,BLR,1998,100.55297999999999,152.5080122012951,12.563811700390902
Belarus,BLR,1999,92.21427,155.3512480067611,11.656455721056501
Belarus,BLR,2000,90.92334000000001,164.81741821285988,11.571725540508302
Belarus,BLR,2001,88.84156999999999,163.86967294437122,8.308523855727701
Belarus,BLR,2002,92.52828,168.6083993815385,7.8374481909728
Belarus,BLR,2003,94.59842,165.76516348134854,7.3767715811993
Belarus,BLR,2004,94.41234000000001,187.55202236724784,7.2259380391874
Belarus,BLR,2005,87.50412,192.29074880441507,7.979853770229073
Belarus,BLR,2006,102.36726000000002,196.2586185792908,7.144689955555008
Belarus,BLR,2007,93.28423,197.0353552327732,8.080224093574232
Belarus,BLR,2008,91.97004,201.79049913579962,7.5326538634488
Belarus,BLR,2009,107.85661999999999,168.656050186026,7.1767772755727055
Belarus,BLR,2010,86.93425,206.6214222245316,7.5073488349541035
Belarus,BLR,2011,99.98311,191.5508366673304,9.01861486408314
Belarus,BLR,2012,121.48697999999999,193.90188590384665,9.19935326
Belarus,BLR,2013,82.99168000000002,194.07333631150559,10.001825134756
Belarus,BLR,2014,94.51701000000001,192.0396124151315,9.155477787092
Belarus,BLR,2015,89.62895180967935,162.95953840133197,7.748474766542112
Belarus,BLR,2016,87.65111148498342,178.08108640816002,9.054196345400634
Belgium,BEL,1965,185.38219999999998,0.7349999999999989,222.93715460550004
Belgium,BEL,1966,189.06891000000002,1.326499999999998,203.37099414440004
Belgium,BEL,1967,208.65383,5.055499999999992,199.59725057420002
Belgium,BEL,1968,242.53202000000002,12.298999999999982,206.06417824890002
Belgium,BEL,1969,279.7363900000001,25.334999999999958,200.69035136670004
Belgium,BEL,1970,304.83393000000007,39.75174999999994,189.13449273300003
Belgium,BEL,1971,312.32365000000004,54.81474999999992,156.61695237330002
Belgium,BEL,1972,338.14225000000005,69.11349999999989,149.58344191810002
Belgium,BEL,1973,355.42443,83.07224999999987,125.52781780130002
Belgium,BEL,1974,312.55625000000003,97.35674999999986,134.2674400688
Belgium,BEL,1975,295.4485200000001,96.19474999999986,100.27896745406002
Belgium,BEL,1976,308.03218000000004,101.61149999999985,104.50377222392001
Belgium,BEL,1977,303.01965,99.96949999999985,105.99527027316
Belgium,BEL,1978,323.29074,99.12449999999984,108.54405786771002
Belgium,BEL,1979,321.42994,108.30524999999984,120.93531781170002
Belgium,BEL,1980,297.34421000000003,103.63149999999985,121.91450647580001
Belgium,BEL,1981,272.47927000000004,95.58049999999986,126.2925643844
Belgium,BEL,1982,257.91851,79.68624999999987,126.4905105897
Belgium,BEL,1983,233.49551000000002,82.80874999999988,107.94012616794002
Belgium,BEL,1984,225.54059000000004,85.45049999999988,125.17853738400002
Belgium,BEL,1985,228.69232000000002,85.86399999999986,124.82668894640003
Belgium,BEL,1986,258.94195,77.09499999999989,106.50946124111002
Belgium,BEL,1987,260.8609,85.01649999999987,105.99314400678
Belgium,BEL,1988,268.94375,83.90599999999988,107.10849779247002
Belgium,BEL,1989,263.98937000000006,93.24424999999985,112.53452318499001
Belgium,BEL,1990,277.42202000000003,95.00599999999986,123.24194700000001
Belgium,BEL,1991,298.83285,101.58224999999985,117.038505
Belgium,BEL,1992,305.5317300000001,105.24824999999983,107.156494
Belgium,BEL,1993,300.77505999999994,109.39899999999984,98.77359000000001
Belgium,BEL,1994,325.62836999999996,112.49224999999983,104.28737300000002
Belgium,BEL,1995,322.151,123.40524999999981,100.62276000000001
Belgium,BEL,1996,350.9701400000001,137.4162499999998,96.07194100000002
Belgium,BEL,1997,360.1811000000001,131.0084999999998,92.817867
Belgium,BEL,1998,364.00737000000004,145.07574999999977,93.63894500000002
Belgium,BEL,1999,350.16767000000004,155.08474999999976,82.10780000000001
Belgium,BEL,2000,359.71590000000003,155.47624999999977,93.058608
